episode_index,category,suite,source_file,length,task
0,env,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo.hdf5,277,put the white mug on the left plate and put the yellow and white mug on the right plate
1,lighting,libero_goal,put_the_cream_cheese_in_the_bowl_demo.hdf5,112,put the cream cheese in the bowl
2,sensor_noise,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,147,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
3,language,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo.hdf5,176,pick up the alphabet soup and place it in the basket
4,camera_pose,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,106,pick up the black bowl next to the cookie box and place it on the plate
5,env,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet_demo.hdf5,92,put the wine bottle on top of the cabinet
6,sensor_noise,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,124,pick up the black bowl from table center and place it on the plate
7,sensor_noise,libero_goal,open_the_middle_drawer_of_the_cabinet_demo.hdf5,121,open the middle drawer of the cabinet
8,lighting,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,141,pick up the milk and place it in the basket
9,language,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,92,put the bowl on the plate
10,sensor_noise,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,148,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
11,sensor_noise,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,243,put both the cream cheese box and the butter in the basket
12,env,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo.hdf5,137,pick up the black bowl next to the ramekin and place it on the plate
13,language,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket_demo.hdf5,199,pick up the ketchup and place it in the basket
14,sensor_noise,libero_goal,put_the_wine_bottle_on_the_rack_demo.hdf5,184,put the wine bottle on the rack
15,sensor_noise,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,93,put the bowl on the plate
16,env,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,222,turn on the stove and put the moka pot on it
17,lighting,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,127,pick up the black bowl next to the plate and place it on the plate
18,env,libero_object,pick_up_the_butter_and_place_it_in_the_basket_demo.hdf5,156,pick up the butter and place it in the basket
19,sensor_noise,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo.hdf5,157,pick up the chocolate pudding and place it in the basket
20,lighting,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,170,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
21,language,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,234,put both the cream cheese box and the butter in the basket
22,sensor_noise,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo.hdf5,236,put both the alphabet soup and the cream cheese box in the basket
23,language,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet_demo.hdf5,92,put the wine bottle on top of the cabinet
24,camera_pose,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo.hdf5,160,pick up the chocolate pudding and place it in the basket
25,camera_pose,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo.hdf5,105,put the bowl on top of the cabinet
26,language,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo.hdf5,261,put both the alphabet soup and the cream cheese box in the basket
27,sensor_noise,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket_demo.hdf5,147,pick up the ketchup and place it in the basket
28,sensor_noise,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,148,pick up the tomato sauce and place it in the basket
29,sensor_noise,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,139,pick up the tomato sauce and place it in the basket
30,env,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,130,pick up the black bowl next to the cookie box and place it on the plate
31,lighting,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5,133,pick up the black bowl on the stove and place it on the plate
32,env,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,121,pick up the orange juice and place it in the basket
33,sensor_noise,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,308,turn on the stove and put the moka pot on it
34,language,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,103,put the bowl on the plate
35,camera_pose,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo.hdf5,214,put the white mug on the left plate and put the yellow and white mug on the right plate
36,sensor_noise,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,129,pick up the black bowl on the ramekin and place it on the plate
37,language,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo.hdf5,312,put both the alphabet soup and the cream cheese box in the basket
38,sensor_noise,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,111,pick up the black bowl from table center and place it on the plate
39,env,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,184,open the top drawer and put the bowl inside
